#SRCNAME|DSTNAME|METRIC=VALUE,METRIC=VALUE,...
aws.us-east-1|azure.japanwest|cost=90.00,delay=169.92
aws.us-east-1|azure.koreasouth|cost=90.00,delay=182.24
aws.us-east-1|azure.southindia|cost=90.00,delay=229.46
aws.us-east-1|azure.canadaeast|cost=90.00,delay=20.87
aws.us-east-1|azure.ukwest|cost=90.00,delay=77.29
aws.us-east-2|aws.us-east-1|cost=10.00,delay=11.16
aws.us-east-2|aws.us-west-1|cost=20.00,delay=50.73
aws.us-east-2|aws.us-west-2|cost=20.00,delay=49.20
aws.us-east-2|aws.ap-south-1|cost=20.00,delay=198.22
aws.us-east-2|aws.ap-northeast-3|cost=20.00,delay=136.89
aws.us-east-2|aws.ap-northeast-2|cost=20.00,delay=159.83
aws.us-east-2|aws.ap-southeast-1|cost=20.00,delay=197.03
aws.us-east-2|aws.ap-southeast-2|cost=20.00,delay=186.68
aws.us-east-2|aws.ap-northeast-1|cost=20.00,delay=131.00
aws.us-east-2|aws.ca-central-1|cost=20.00,delay=23.71
aws.us-east-2|aws.eu-central-1|cost=20.00,delay=100.72
aws.us-east-2|aws.eu-west-1|cost=20.00,delay=77.72
aws.us-east-2|aws.eu-west-2|cost=20.00,delay=86.12
aws.us-east-2|aws.eu-west-3|cost=20.00,delay=91.65
aws.us-east-2|aws.eu-north-1|cost=20.00,delay=120.28
aws.us-east-2|aws.sa-east-1|cost=20.00,delay=124.34
aws.us-east-2|gcp.northamerica-northeast1|cost=90.00,delay=24.20
aws.us-east-2|gcp.northamerica-northeast2|cost=90.00,delay=26.40
aws.us-east-2|gcp.southamerica-east1|cost=90.00,delay=125.31
aws.us-east-2|gcp.southamerica-west1|cost=90.00,delay=127.74
aws.us-east-2|gcp.us-central1|cost=90.00,delay=26.45
aws.us-east-2|gcp.us-east1|cost=90.00,delay=29.40
aws.us-east-2|gcp.us-east4|cost=90.00,delay=12.42
aws.us-east-2|gcp.us-east5|cost=90.00,delay=28.79
aws.us-east-2|gcp.us-south1|cost=90.00,delay=33.63
aws.us-east-2|gcp.us-west1|cost=90.00,delay=63.13
aws.us-east-2|gcp.us-west2|cost=90.00,delay=67.31
aws.us-east-2|gcp.us-west3|cost=90.00,delay=50.83
aws.us-east-2|gcp.us-west4|cost=90.00,delay=61.72
aws.us-east-2|gcp.europe-central2|cost=90.00,delay=111.50
aws.us-east-2|gcp.europe-north1|cost=90.00,delay=113.66
aws.us-east-2|gcp.europe-southwest1|cost=90.00,delay=89.14
aws.us-east-2|gcp.europe-west1|cost=90.00,delay=91.03
aws.us-east-2|gcp.europe-west12|cost=90.00,delay=104.07
aws.us-east-2|gcp.europe-west2|cost=90.00,delay=87.30
aws.us-east-2|gcp.europe-west3|cost=90.00,delay=97.26
aws.us-east-2|gcp.europe-west4|cost=90.00,delay=26.74
aws.us-east-2|gcp.europe-west6|cost=90.00,delay=101.83
aws.us-east-2|gcp.europe-west8|cost=90.00,delay=105.36
aws.us-east-2|gcp.europe-west9|cost=90.00,delay=89.45
aws.us-east-2|gcp.me-central1|cost=90.00,delay=202.03
aws.us-east-2|gcp.me-west1|cost=90.00,delay=137.38
aws.us-east-2|gcp.asia-east1|cost=90.00,delay=193.32
aws.us-east-2|gcp.asia-east2|cost=90.00,delay=205.36
aws.us-east-2|gcp.asia-northeast1|cost=90.00,delay=156.74
aws.us-east-2|gcp.asia-northeast2|cost=90.00,delay=164.85
aws.us-east-2|gcp.asia-northeast3|cost=90.00,delay=182.25
aws.us-east-2|gcp.asia-south1|cost=90.00,delay=228.74
aws.us-east-2|gcp.asia-south2|cost=90.00,delay=269.04
aws.us-east-2|gcp.asia-southeast1|cost=90.00,delay=222.44
aws.us-east-2|gcp.asia-southeast2|cost=90.00,delay=235.48
aws.us-east-2|gcp.australia-southeast1|cost=90.00,delay=199.02
aws.us-east-2|gcp.australia-southeast2|cost=90.00,delay=211.01
aws.us-east-2|azure.eastus|cost=90.00,delay=12.33
aws.us-east-2|azure.eastus2|cost=90.00,delay=16.06
aws.us-east-2|azure.southcentralus|cost=90.00,delay=37.40
aws.us-east-2|azure.westus2|cost=90.00,delay=75.42
aws.us-east-2|azure.westus3|cost=90.00,delay=53.52
aws.us-east-2|azure.australiaeast|cost=90.00,delay=207.22
